2022069	2022/09/20	4	7	14	18	27	31	48
2022070	2022/09/22	8	11	31	32	33	36	46
2022071	2022/09/24	4	6	10	27	29	46	17
2022072	2022/09/27	2	18	29	30	32	47	46
2022073	2022/09/29	6	8	18	36	37	44	30
2022074	2022/10/02	1	7	11	24	27	38	17
2022075	2022/10/04	7	8	12	13	26	43	3
2022076	2022/10/06	4	11	21	28	31	47	5
2022077	2022/10/08	7	11	28	31	43	48	42
2022078	2022/10/11	1	5	10	25	36	47	23
2022079	2022/10/13	1	10	14	38	47	48	40
2022080	2022/10/15	18	21	25	28	38	44	45
2022081	2022/10/18	7	25	26	39	44	45	46
2022082	2022/10/20	20	24	27	31	32	49	36
2022083	2022/10/22	12	15	16	42	44	45	4
2022084	2022/10/25	27	28	30	34	35	48	11
2022085	2022/10/29	4	5	12	15	28	29	20
2022086	2022/11/01	2	12	14	32	41	46	20
2022087	2022/11/03	10	13	19	21	27	49	35
2022088	2022/11/05	7	11	22	23	28	32	29
2022089	2022/11/08	10	20	27	32	38	46	4
2022090	2022/11/10	11	12	14	18	29	30	31
2022091	2022/11/13	5	12	18	19	26	33	46
2022092	2022/11/15	17	18	32	38	44	49	19
2022093	2022/11/17	1	9	27	32	33	35	45
2022094	2022/11/19	6	11	27	39	46	47	15
2022095	2022/11/22	6	10	11	13	32	46	39
2022096	2022/11/24	3	12	14	19	25	28	11
2022097	2022/11/26	14	25	28	29	43	44	10
2022098	2022/11/29	12	18	22	28	31	40	7
2022099	2022/12/01	14	18	27	32	39	42	43
2022100	2022/12/03	2	15	31	34	38	41	21
2022101	2022/12/06	6	11	17	30	44	46	5
2022102	2022/12/08	17	19	35	39	44	46	21
2022103	2022/12/10	6	12	20	25	39	49	7
2022104	2022/12/13	12	38	39	40	45	49	10
2022105	2022/12/15	5	7	18	26	31	45	30
2022106	2022/12/17	6	14	15	26	35	40	8
2022107	2022/12/20	28	36	37	38	41	45	42
2022108	2022/12/22	16	18	19	33	41	46	37
2022109	2022/12/25	2	7	11	14	18	39	29
2022110	2022/12/27	5	13	18	32	39	45	44
2022111	2022/12/29	1	2	21	33	41	45	4
